Product ID,Product Name,Category,Region,Sales Amount,Cost,Profit,Units Sold,Sales Date,Discount (%),Sales Channel,Customer Satisfaction Score,Customer Segment,Payment Method,Shipping Duration (days),Return Status
52,Compare Pro,Electronics,Asia,2606.7,735.9,586.33,10,09-08-2024,23.98,Online,2.5,Small Business,Debit Card,8,Returned
53,Happen X,Groceries,Africa,1171.64,2309.77,275.27,1,07-01-2024,10.69,Online,2.5,Small Business,Bank Transfer,15,Returned
54,Technology Ultra,Clothing,Africa,3609.78,3671.08,41.56,95,13-08-2024,20.73,Wholesale,4.7,Small Business,Bank Transfer,13,Returned
55,Scientist Pro,Clothing,Africa,2683.91,417.76,672.53,57,04-10-2024,22.13,Online,3.1,Small Business,Bank Transfer,9,Returned
56,Address Pro,Electronics,North America,1547.78,782.89,681.52,41,09-08-2024,19.92,Wholesale,2.9,Government,Debit Card,10,Not Returned
57,Carry X,Furniture,Europe,262.33,2825.2,370.81,77,18-07-2024,24.76,In-store,3.5,Retail,Bank Transfer,12,Not Returned
58,Result Ultra,Electronics,Asia,4574.82,3723.23,958.08,81,15-05-2024,0.15,Online,2.5,Government,Bank Transfer,10,Not Returned
59,Mission Plus,Groceries,Australia,4252.09,1431.24,779.15,76,26-09-2024,26.61,Wholesale,3.9,Retail,Debit Card,9,Returned
60,City Pro,Electronics,North America,3879.78,1972.64,27.5,91,06-03-2024,25.01,Online,2.4,Corporate,Debit Card,14,Not Returned
61,Anything Pro,Clothing,Europe,2437.71,2563.89,926.51,86,13-12-2024,5.13,Wholesale,2.2,Retail,Debit Card,2,Not Returned
62,Mind Ultra,Groceries,Europe,3861.36,3198.68,350.25,45,22-10-2024,11.87,Online,3.5,Government,Debit Card,8,Returned
63,Stock Plus,Toys,Africa,308.84,2273.95,669.22,42,03-07-2024,25.79,Online,5,Government,Bank Transfer,6,Returned
64,Story Ultra,Clothing,Africa,4920.26,1302.06,887.07,50,10-05-2024,18.98,Online,4.4,Small Business,Credit Card,11,Returned
65,Usually Pro,Toys,Australia,4308.21,3310.7,371.32,85,26-09-2024,12.42,Wholesale,3.2,Corporate,PayPal,10,Not Returned
66,Human Pro,Furniture,Australia,3914.05,473.83,436.25,10,08-08-2024,26.26,Wholesale,4.6,Government,Credit Card,3,Not Returned
67,Yourself X,Furniture,Europe,4193.07,2176.86,142.56,9,20-02-2024,22.87,Online,3,Corporate,Bank Transfer,9,Returned
68,Memory Pro,Toys,Africa,2600.92,2275.83,31.36,42,19-04-2024,3.04,Online,2,Small Business,Debit Card,15,Returned
69,Central Pro,Clothing,North America,2775.35,3427.05,228.03,42,21-02-2024,14.95,In-store,4.3,Small Business,Bank Transfer,11,Not Returned
70,Week Ultra,Furniture,North America,4456.81,2379.79,43.59,94,08-09-2024,29.62,Online,1.4,Retail,Debit Card,1,Not Returned
71,International Plus,Groceries,Europe,2526.6,3484,126.09,45,18-05-2024,5.5,Online,3.4,Corporate,Credit Card,11,Returned
72,Choose Plus,Furniture,North America,1962.13,2887.24,592.07,50,16-12-2024,25.79,In-store,3.5,Retail,Bank Transfer,10,Returned
73,Memory Ultra,Groceries,North America,1264.6,2709.33,642.46,37,27-11-2024,5.24,In-store,3.5,Corporate,Bank Transfer,12,Returned
74,Unit Pro,Toys,Asia,3750.27,1195.64,590.94,95,08-02-2024,20.65,Wholesale,5,Corporate,Bank Transfer,13,Returned
75,Republican X,Groceries,Asia,57.91,300.29,48.43,68,19-02-2024,8.34,Online,2.1,Small Business,Credit Card,8,Not Returned
76,Image Plus,Clothing,Africa,1224.9,770.49,323.36,22,07-01-2024,15.02,Wholesale,4.3,Retail,Debit Card,1,Not Returned
77,Appear Pro,Furniture,North America,2874.36,2930,573.22,67,24-04-2024,15.78,Online,3.1,Government,Bank Transfer,14,Not Returned
78,While Plus,Toys,North America,2544.14,3617.73,613.12,61,12-07-2024,24.85,In-store,2.2,Government,Credit Card,2,Returned
79,Poor Pro,Toys,North America,4269.43,2165.89,551.1,71,12-10-2024,1.6,Online,3,Retail,Credit Card,5,Not Returned
80,Conference Plus,Electronics,Australia,2836.71,1947.59,314.82,32,22-07-2024,15.23,In-store,1.3,Corporate,PayPal,13,Returned
81,Surface X,Groceries,Australia,4927.04,734.86,379.16,9,12-11-2024,14.54,Online,3.3,Retail,Credit Card,14,Returned
82,By Ultra,Clothing,North America,478.67,56.33,379.35,75,24-04-2024,23.52,Wholesale,4.9,Small Business,PayPal,10,Returned
83,Audience X,Groceries,North America,2477.66,3924.73,417.94,46,13-04-2024,25.79,Wholesale,1.1,Retail,Credit Card,8,Returned
84,However Pro,Furniture,Africa,3022.56,1452.3,937.6,25,06-12-2024,12.96,Wholesale,1.8,Corporate,Bank Transfer,1,Not Returned
85,Month Plus,Furniture,Africa,2032.46,3211.57,565.56,4,19-05-2024,17.85,In-store,2.2,Government,Debit Card,4,Returned
86,Eye Pro,Furniture,Europe,1023.27,2945.36,840.67,11,20-12-2024,29.62,Wholesale,2.3,Corporate,PayPal,7,Returned
87,South Plus,Clothing,Europe,607.83,1786.25,689.42,26,01-02-2024,18.61,Wholesale,3.8,Corporate,Credit Card,13,Not Returned
88,Sister Ultra,Clothing,Asia,2027.38,3460.81,750.76,50,28-02-2024,4.25,Online,1.3,Corporate,Bank Transfer,10,Not Returned
89,Strong X,Electronics,North America,4600.71,687.32,844.5,33,26-07-2024,29.42,Wholesale,3.7,Retail,PayPal,9,Not Returned
90,Position Ultra,Toys,North America,4480.09,1719.52,866.73,63,02-05-2024,3.02,Online,4.7,Small Business,Credit Card,4,Returned
91,Under Ultra,Toys,Africa,2896.08,1559.88,575.76,14,27-10-2024,16.14,Online,4,Corporate,Debit Card,15,Returned
92,Without X,Groceries,Australia,4654.89,1463.08,114.05,11,21-01-2024,17.44,Wholesale,3.7,Small Business,Credit Card,8,Returned
93,Sing X,Groceries,Asia,384.41,1745.49,845.78,78,05-09-2024,25.1,Online,2.3,Government,PayPal,3,Returned
94,Community Ultra,Groceries,Asia,3037.73,119.11,179.99,68,09-09-2024,0.92,Wholesale,4.8,Retail,PayPal,4,Not Returned
95,Heart X,Toys,Africa,1094.42,1681.83,670.33,56,17-05-2024,20.19,Online,2.3,Retail,Credit Card,14,Returned
96,Soldier Plus,Furniture,Africa,1514.79,1984.96,665.03,16,18-01-2024,8.37,Online,3.9,Corporate,Credit Card,1,Returned
97,Decision X,Electronics,Africa,51.45,952.52,812.89,57,21-06-2024,4.34,Online,2.7,Corporate,Bank Transfer,5,Not Returned
98,Either Ultra,Clothing,North America,961.3,3008.46,665.03,75,04-12-2024,8.2,In-store,4.9,Corporate,Credit Card,2,Returned
99,Room Pro,Furniture,Africa,1917.8,2946.87,400.36,97,02-06-2024,13.22,Online,1.7,Small Business,Bank Transfer,7,Returned
100,Idea Ultra,Electronics,Africa,3957.54,2427.46,251.27,69,30-03-2024,12.56,Online,3.3,Government,Bank Transfer,7,Returned
101,Especially Ultra,Clothing,Africa,3133.72,1824.18,931.15,96,20-06-2024,19.46,Wholesale,3.5,Corporate,Credit Card,10,Returned
102,Partner Plus,Electronics,Africa,1941.33,3111.07,962.71,57,05-05-2024,11.86,In-store,3.4,Government,Credit Card,2,Returned
103,Improve Ultra,Clothing,Australia,3367.4,2227.28,28.36,81,25-05-2024,7.97,Wholesale,3.2,Government,Debit Card,15,Not Returned
104,Expert X,Furniture,Europe,3667.12,3072.23,35.95,61,06-11-2024,5.99,In-store,2.6,Small Business,Bank Transfer,6,Returned
105,Fight Ultra,Clothing,Europe,3348.76,441.55,640.95,30,22-03-2024,3.97,In-store,2.1,Small Business,Bank Transfer,10,Returned
106,Argue Pro,Furniture,Africa,1001.55,3373.38,910.99,58,16-08-2024,28.21,Online,1.5,Retail,Bank Transfer,11,Not Returned
107,Let Plus,Clothing,North America,412.23,3718.12,965.54,29,25-09-2024,1.92,In-store,3,Small Business,PayPal,1,Not Returned
108,Family X,Furniture,Australia,3541.11,1149.98,737.97,36,24-04-2024,22.81,In-store,2.4,Retail,Debit Card,12,Returned
109,Set X,Toys,North America,3247.08,129.13,958.52,59,02-04-2024,25.62,In-store,4.7,Retail,PayPal,9,Returned
110,Population Ultra,Furniture,North America,3119.46,1837.34,439.57,5,23-04-2024,23.29,Wholesale,4.5,Retail,Credit Card,7,Not Returned
111,Manage Pro,Furniture,Africa,4620.66,715.06,74.3,9,11-03-2024,16.89,In-store,3.2,Corporate,PayPal,11,Not Returned
112,Consumer Plus,Clothing,Europe,152.93,1990.38,32.04,30,18-02-2024,20.17,Online,2.9,Small Business,PayPal,10,Returned
113,I Plus,Electronics,Europe,1851.55,1315.73,77.87,89,28-11-2024,4.98,Online,4.9,Retail,PayPal,5,Not Returned
114,View Ultra,Toys,Australia,2175.63,3136.97,416.04,58,09-06-2024,5.56,Online,2.5,Government,Credit Card,11,Returned
115,Single Pro,Groceries,North America,15.76,3094.33,233.07,31,06-07-2024,18.35,Wholesale,2.4,Small Business,Bank Transfer,2,Not Returned
116,Industry X,Groceries,Australia,3947.63,170.38,580.46,64,16-04-2024,9.97,In-store,3.4,Small Business,PayPal,15,Not Returned
117,Upon X,Electronics,Europe,3096.04,59.33,934.76,33,20-08-2024,2.6,In-store,2.5,Retail,Debit Card,8,Returned
118,Year X,Electronics,Africa,1721.53,2285.8,432.77,11,20-10-2024,21.73,Online,3.4,Corporate,Credit Card,6,Not Returned
119,End Ultra,Toys,Australia,3998.38,1537.05,966.01,93,02-11-2024,15.58,In-store,1.5,Small Business,Bank Transfer,1,Returned
120,Stage Pro,Groceries,Asia,1352.39,3194.26,84.84,64,08-07-2024,25.81,Online,2.1,Corporate,PayPal,7,Returned
121,Challenge Plus,Furniture,Asia,2511.24,2036.27,610.82,25,30-11-2024,22.57,Online,4.2,Small Business,Debit Card,3,Not Returned
122,Option X,Electronics,Asia,2534.8,2358.79,827.73,95,27-02-2024,10.88,Wholesale,2.1,Government,PayPal,12,Returned
123,High Ultra,Toys,North America,1328.14,1472.12,549.89,19,06-09-2024,27.13,Online,2.8,Small Business,Bank Transfer,8,Not Returned
124,Environmental Pro,Furniture,Australia,4072.97,3570.8,575.02,17,02-01-2024,7.43,Online,4.6,Small Business,Bank Transfer,15,Returned
125,Wear Pro,Electronics,Europe,3885.83,1333.46,237.62,56,26-05-2024,0.86,In-store,2.9,Corporate,Debit Card,2,Returned
126,Community Ultra,Groceries,Australia,4455.28,2939.78,1.98,12,02-04-2024,24.2,Online,1.4,Small Business,PayPal,2,Not Returned
127,Man Ultra,Electronics,Asia,61.65,2396.61,237.93,67,06-11-2024,21.12,Online,1.3,Corporate,Credit Card,6,Not Returned
128,Citizen Pro,Toys,Asia,1024.37,3403.66,820.14,43,26-09-2024,2.55,Wholesale,2.4,Retail,PayPal,8,Not Returned
129,Lose Ultra,Clothing,North America,3082.05,396.19,815.08,2,11-08-2024,3.16,Wholesale,4.4,Small Business,Debit Card,2,Returned
130,Off Pro,Furniture,Africa,3126.41,2651.83,839.19,88,27-08-2024,25.4,Online,3.8,Government,Bank Transfer,8,Returned
131,Method X,Groceries,North America,1283.79,2270.72,506.92,56,06-02-2024,1.29,In-store,1.9,Small Business,PayPal,9,Returned
132,Play Pro,Furniture,North America,3763.01,1388.24,291.95,82,01-10-2024,10.74,Online,5,Corporate,Credit Card,1,Returned
133,Trial Plus,Furniture,Africa,1554.97,3301.26,452.61,81,23-05-2024,5.47,Online,3.3,Retail,Bank Transfer,7,Not Returned
134,Experience Pro,Toys,Africa,621.14,649.1,314.31,7,07-07-2024,5.57,Online,4.8,Retail,Bank Transfer,9,Not Returned
135,Too X,Furniture,Asia,3973.25,1871.27,272.27,32,29-02-2024,24.62,In-store,2.8,Government,Bank Transfer,14,Returned
136,Guy Ultra,Clothing,Asia,1121.11,749.6,289.54,75,28-03-2024,11.41,Online,1,Government,Debit Card,7,Returned
137,Beautiful X,Electronics,Australia,2365.64,2554.06,147.15,71,26-07-2024,25.55,In-store,3.4,Government,Debit Card,11,Not Returned
138,Present Plus,Electronics,Australia,4362.86,3486.65,188.13,82,11-11-2024,10.73,Wholesale,4.1,Government,PayPal,12,Not Returned
139,Tough Plus,Electronics,Asia,1873.78,2554.99,620.46,92,06-07-2024,27.55,In-store,4.7,Small Business,Bank Transfer,13,Returned
140,Buy Ultra,Furniture,Asia,3397.46,665.82,999.93,79,28-07-2024,24.24,Online,3,Government,Debit Card,3,Returned
141,Once X,Furniture,Australia,3558.51,2122.91,920.83,56,08-06-2024,8.11,In-store,4.4,Retail,Bank Transfer,7,Returned
142,Pm Pro,Groceries,Africa,2659.62,1143.69,224.25,11,20-10-2024,5.99,Online,2.8,Corporate,Credit Card,7,Not Returned
143,Detail Plus,Furniture,Australia,3176.34,2476.03,21.82,64,27-05-2024,11.49,Wholesale,3.1,Corporate,PayPal,11,Returned
144,Much X,Clothing,Africa,529.27,225.93,372.42,77,07-09-2024,1.39,Wholesale,4.3,Corporate,Bank Transfer,1,Returned
145,Middle X,Electronics,Europe,847.15,3947.83,963.23,17,16-10-2024,13.48,In-store,3.3,Retail,Credit Card,10,Not Returned
146,Behavior X,Clothing,Africa,1227.38,1695.87,614.13,78,31-08-2024,6.91,Online,4.5,Retail,Credit Card,11,Not Returned
147,Or X,Groceries,North America,2544.34,3511.24,745.32,52,14-04-2024,15.92,Online,1.1,Corporate,Bank Transfer,13,Not Returned
148,Score X,Groceries,Australia,2022.15,1044.9,1.03,62,11-11-2024,23.35,In-store,3.2,Corporate,Bank Transfer,7,Not Returned
149,Turn Ultra,Furniture,Europe,356.04,3876.03,724.29,37,02-07-2024,2.65,In-store,3.9,Corporate,Credit Card,1,Not Returned
150,Music Ultra,Clothing,Australia,1030.32,3573.09,92.74,54,30-04-2024,1.07,Online,2.7,Corporate,Bank Transfer,1,Not Returned
151,At X,Clothing,Australia,944.93,222.12,577.64,56,04-04-2024,12.56,Wholesale,1.7,Government,Debit Card,4,Returned
152,Enjoy X,Toys,Europe,115.81,2297.23,792.78,23,19-08-2024,12.15,Online,3.6,Retail,Bank Transfer,8,Returned
153,Role Pro,Groceries,North America,4831.68,784.01,973.35,48,21-06-2024,24.97,Wholesale,1.6,Small Business,PayPal,6,Not Returned
154,Should Pro,Clothing,North America,4138.43,2889.55,696.5,40,21-09-2024,13.23,Wholesale,2.2,Corporate,Bank Transfer,12,Not Returned
155,Pm Ultra,Furniture,North America,4078.13,3466.75,189.1,36,21-09-2024,24.94,In-store,3.7,Government,Debit Card,11,Returned
156,Party X,Groceries,North America,3765.81,955.68,662.03,2,05-07-2024,20.5,Online,4,Retail,Credit Card,8,Not Returned
157,Explain Pro,Groceries,Europe,1468.95,3121.41,294.65,12,15-09-2024,5.37,In-store,4.8,Small Business,Credit Card,9,Returned
158,Member Plus,Furniture,Asia,2402.52,833.87,664.63,8,10-08-2024,11.13,Online,2.2,Small Business,Debit Card,5,Returned
159,Foot Ultra,Toys,Australia,3018.08,741.79,886.4,47,06-10-2024,18.63,In-store,2.8,Corporate,PayPal,5,Returned
160,Myself Plus,Electronics,Australia,4636.03,291.2,93.46,83,14-04-2024,15.55,Wholesale,1.6,Small Business,Debit Card,7,Returned
161,Wear Pro,Groceries,North America,3857.61,2119.33,950.34,18,01-07-2024,10,Online,4.8,Government,Bank Transfer,10,Not Returned
162,Ground Plus,Groceries,Asia,1389.4,2979.07,125.39,22,09-03-2024,10.23,Online,4.6,Retail,PayPal,5,Returned
163,Site Ultra,Electronics,Africa,1197.85,3564.52,470.96,22,09-09-2024,18.23,Wholesale,2.9,Small Business,PayPal,15,Not Returned
164,Pull Pro,Furniture,Europe,4771.59,1689.81,887.28,2,10-02-2024,13.89,Wholesale,4.4,Corporate,PayPal,8,Not Returned
165,Alone X,Electronics,North America,2399.22,3211.64,347.74,41,12-06-2024,25.33,Online,4.1,Retail,Bank Transfer,4,Returned
166,Feeling Pro,Clothing,Asia,2394.99,2607.31,186.51,71,26-09-2024,26.25,In-store,3.7,Government,Bank Transfer,13,Returned
167,Court X,Electronics,Africa,3549.57,2468.64,422.61,80,03-11-2024,10.81,Online,3.1,Retail,Credit Card,13,Not Returned
168,Class Pro,Toys,Australia,1121.39,3227.75,148,33,02-11-2024,15.62,Online,2.6,Corporate,Bank Transfer,4,Not Returned
169,Policy Pro,Toys,Australia,2159.86,3905.13,101.54,1,11-03-2024,2.33,In-store,1.4,Corporate,Debit Card,1,Returned
170,Part X,Clothing,Australia,4861.58,103.56,868.9,31,14-06-2024,24.91,Wholesale,2.3,Corporate,Credit Card,15,Not Returned
171,Probably Pro,Groceries,Asia,2187.74,402.84,969.41,16,22-09-2024,28.02,Online,1.6,Corporate,Debit Card,12,Returned
172,Manager Ultra,Groceries,Asia,3401.59,2812.92,86.95,85,13-03-2024,29.24,Wholesale,2.1,Small Business,PayPal,4,Not Returned
173,Reason X,Clothing,Australia,1020.46,3657.33,520.02,50,12-05-2024,16.96,Online,4.6,Government,Credit Card,9,Not Returned
174,Particular Ultra,Electronics,Asia,3969.81,1355.72,986.64,88,18-08-2024,8.45,In-store,4.4,Small Business,Debit Card,7,Returned
175,Provide Pro,Groceries,Europe,3953.09,45.86,803.47,44,01-05-2024,17.14,In-store,2.9,Corporate,Debit Card,4,Returned
176,Language Ultra,Toys,North America,2859.7,2274.88,684.35,88,23-03-2024,26.48,In-store,1.2,Retail,PayPal,2,Not Returned
177,Guess X,Clothing,Asia,524.31,1286.71,794.71,2,19-02-2024,25.62,In-store,3.7,Government,Bank Transfer,9,Not Returned
178,Upon Pro,Clothing,Asia,794.54,3566.96,556.91,36,30-11-2024,5.71,Wholesale,3,Small Business,PayPal,3,Returned
179,Mention Plus,Toys,Europe,2232.9,2762.17,338.58,74,07-10-2024,14.37,In-store,1.4,Government,Debit Card,6,Not Returned
180,By Plus,Electronics,Africa,4739.88,1888.64,748.21,61,11-05-2024,1.09,In-store,2.4,Government,PayPal,2,Returned
181,Daughter Pro,Groceries,Asia,2355.95,3673.29,90.04,51,15-08-2024,8.6,In-store,1.2,Corporate,PayPal,2,Not Returned
182,Hour Pro,Clothing,Africa,3030.67,2453.73,29.12,24,29-01-2024,0.56,In-store,4.5,Government,Bank Transfer,12,Not Returned
183,Raise Plus,Toys,Europe,4619.03,3483.72,680.41,49,29-07-2024,17.83,Online,4.9,Retail,Debit Card,13,Not Returned
184,Imagine Ultra,Electronics,Australia,794.06,524.66,700.55,62,05-07-2024,13.72,Online,3.3,Corporate,Debit Card,11,Not Returned
185,Animal Ultra,Electronics,Australia,1807.91,1436.54,525.74,94,09-05-2024,1.91,In-store,2.9,Retail,Bank Transfer,1,Not Returned
186,Pretty X,Clothing,Europe,4212.3,1346.93,428.96,75,19-03-2024,4.73,Online,3.8,Small Business,Debit Card,11,Returned
187,Again Ultra,Furniture,Africa,2443.75,3768.39,252.3,85,18-04-2024,3.97,Wholesale,1.6,Small Business,Bank Transfer,14,Returned
188,Skin Ultra,Clothing,North America,561.04,2534.61,282.02,45,20-04-2024,19.78,Wholesale,2.8,Government,PayPal,11,Not Returned
189,Task Pro,Electronics,Africa,3798.22,3986.37,780,19,28-02-2024,14.5,Online,3.6,Small Business,PayPal,12,Returned
190,Wear X,Toys,Africa,988.63,703.93,271.86,80,01-03-2024,27.12,Online,3.4,Corporate,Bank Transfer,7,Returned
191,Seek Pro,Clothing,Africa,4914.6,100.48,632.49,89,03-08-2024,9.41,In-store,2.5,Small Business,Bank Transfer,9,Not Returned
192,Success X,Furniture,Asia,1553.93,497.99,713.46,71,07-09-2024,3.47,Online,2.6,Government,Debit Card,3,Returned
193,Rule Ultra,Furniture,Africa,3721.77,488.59,430.35,37,24-03-2024,23.61,In-store,4.9,Corporate,Bank Transfer,11,Returned
194,Goal Plus,Electronics,Europe,964.04,1996.44,562.52,48,19-02-2024,3.21,Online,3,Corporate,Bank Transfer,3,Not Returned
195,Moment Pro,Groceries,North America,1147.73,3060.27,145.4,74,18-04-2024,10.1,Wholesale,4.6,Small Business,Bank Transfer,6,Not Returned
196,Safe X,Electronics,Europe,1838.93,1552.08,958.14,23,08-11-2024,27.95,In-store,4.9,Government,Credit Card,8,Not Returned
197,Campaign Ultra,Groceries,Europe,4183.59,2785.73,958.06,8,30-09-2024,1.53,Wholesale,1.9,Corporate,Bank Transfer,15,Not Returned
198,Wait Plus,Groceries,North America,1855.94,3104.02,175.95,71,14-07-2024,26.65,In-store,4.3,Corporate,Credit Card,14,Returned
199,Available X,Electronics,North America,4908.25,1233.93,781.53,44,27-04-2024,13.03,Online,3.7,Corporate,Bank Transfer,1,Returned
